StateName,CountyName,County_FIPS,Event_name,Year,PropertyDmg,PropertyDmg(ADJ 2023),PropertyDmgPerCapita,Property_Damage_Duration,Duration_Days,Records
VIRGINIA,Accomack,51001,Severe Weather/Tornadoes 2023 Mar Central/East,2023,4000.0,4000.0,0.12034,1,1,4
ILLINOIS,Adams,17001,Severe Weather/Tornadoes 2023 Mar Central/East,2023,5000.0,5000.0,0.07759,1,1,1
ILLINOIS,Alexander,17003,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2000.0,2000.0,0.42599,1,1,2
NEW YORK,Allegany,36003,Severe Weather/Tornadoes 2023 Mar Central/East,2023,26000.0,26000.0,0.55733,1,1,10
NORTH CAROLINA,Alleghany,37005,Severe Weather/Tornadoes 2023 Mar Central/East,2023,60000.0,60000.0,5.29007,1,1,1
VIRGINIA,Alleghany,51005,Severe Weather/Tornadoes 2023 Mar Central/East,2023,1250.0,1250.0,0.08565,1,1,1
PENNSYLVANIA,Allegheny,42003,Severe Weather/Tornadoes 2023 Mar Central/East,2023,85000.0,85000.0,0.0694,1,1,2
OHIO,Allen,39003,Severe Weather/Tornadoes 2023 Mar Central/East,2023,55000.0,55000.0,0.54543,1,1,6
INDIANA,Allen,18003,Severe Weather/Tornadoes 2023 Mar Central/East,2023,1000.0,1000.0,0.00253,1,1,1
VIRGINIA,Amherst,51009,Severe Weather/Tornadoes 2023 Mar Central/East,2023,35000.0,35000.0,1.11479,1,1,1
VIRGINIA,Appomattox,51011,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2000.0,2000.0,0.1186,1,1,1
PENNSYLVANIA,Armstrong,42005,Severe Weather/Tornadoes 2023 Mar Central/East,2023,15000.0,15000.0,0.2341,1,1,6
NORTH CAROLINA,Ashe,37009,Severe Weather/Tornadoes 2023 Mar Central/East,2023,60000.0,60000.0,2.21705,1,1,1
OHIO,Ashland,39005,Severe Weather/Tornadoes 2023 Mar Central/East,2023,9200.0,9200.0,0.17628,1,1,4
OHIO,Auglaize,39011,Severe Weather/Tornadoes 2023 Mar Central/East,2023,3670000.0,3670000.0,79.69598,1,1,4
KENTUCKY,Ballard,21007,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2000.0,2000.0,0.26378,1,1,2
WEST VIRGINIA,Barbour,54001,Severe Weather/Tornadoes 2023 Mar Central/East,2023,15000.0,15000.0,0.97542,1,1,1
GEORGIA,Bartow,13015,Severe Weather/Tornadoes 2023 Mar Central/East,2023,1000.0,1000.0,0.00869,1,1,2
VIRGINIA,Bath,51017,Severe Weather/Tornadoes 2023 Mar Central/East,2023,100000.0,100000.0,24.68526,1,1,1
KENTUCKY,Bath,21011,Severe Weather/Tornadoes 2023 Mar Central/East,2023,0.0,0.0,0.0,0,1,1
PENNSYLVANIA,Beaver,42007,Severe Weather/Tornadoes 2023 Mar Central/East,2023,0.0,0.0,0.0,0,1,2
TENNESSEE,Bedford,47003,Severe Weather/Tornadoes 2023 Mar Central/East,2023,70000.0,70000.0,1.31939,1,1,3
VIRGINIA,Bedford,51019,Severe Weather/Tornadoes 2023 Mar Central/East,2023,75000.0,75000.0,0.91996,1,1,1
TEXAS,Bell,48027,Severe Weather/Tornadoes 2023 Mar Central/East,2023,107000.0,107000.0,0.27213,1,1,3
KENTUCKY,Bell,21013,Severe Weather/Tornadoes 2023 Mar Central/East,2023,3000.0,3000.0,0.12866,1,1,1
OHIO,Belmont,39013,Severe Weather/Tornadoes 2023 Mar Central/East,2023,15000.0,15000.0,0.23106,1,1,4
MISSISSIPPI,Benton,28009,Severe Weather/Tornadoes 2023 Mar Central/East,2023,5000.0,5000.0,0.67222,1,1,2
TENNESSEE,Benton,47005,Severe Weather/Tornadoes 2023 Mar Central/East,2023,60000.0,60000.0,3.72601,1,1,5
MASSACHUSETTS,Berkshire,25003,Severe Weather/Tornadoes 2023 Mar Central/East,2023,0.0,0.0,0.0,0,1,2
MICHIGAN,Berrien,26021,Severe Weather/Tornadoes 2023 Mar Central/East,2023,8000.0,8000.0,0.05254,1,1,4
VIRGINIA,Bland,51021,Severe Weather/Tornadoes 2023 Mar Central/East,2023,10000.0,10000.0,1.61838,1,1,1
MISSOURI,Bollinger,29017,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2000.0,2000.0,0.18968,1,1,2
INDIANA,Boone,18011,Severe Weather/Tornadoes 2023 Mar Central/East,2023,305000.0,305000.0,4.00683,1,1,4
ILLINOIS,Boone,17007,Severe Weather/Tornadoes 2023 Mar Central/East,2023,0.0,0.0,0.0,0,1,1
VIRGINIA,Botetourt,51023,Severe Weather/Tornadoes 2023 Mar Central/East,2023,10000.0,10000.0,0.29304,1,1,1
KENTUCKY,Bracken,21023,Severe Weather/Tornadoes 2023 Mar Central/East,2023,1000.0,1000.0,0.11868,1,1,2
MICHIGAN,Branch,26023,Severe Weather/Tornadoes 2023 Mar Central/East,2023,1000.0,1000.0,0.02212,1,1,2
ILLINOIS,Brown,17009,Severe Weather/Tornadoes 2023 Mar Central/East,2023,10000.0,10000.0,1.58881,1,1,2
VIRGINIA,Buena Vista,51530,Severe Weather/Tornadoes 2023 Mar Central/East,2023,11666.67,11666.67,1.77683,1,1,1
NORTH CAROLINA,Buncombe,37021,Severe Weather/Tornadoes 2023 Mar Central/East,2023,0.0,0.0,0.0,0,1,1
MISSOURI,Butler,29023,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2000.0,2000.0,0.04768,1,1,2
KENTUCKY,Caldwell,21033,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2000.0,2000.0,0.15935,1,1,2
KENTUCKY,Calloway,21035,Severe Weather/Tornadoes 2023 Mar Central/East,2023,1000.0,1000.0,0.02612,1,1,1
MARYLAND,Calvert,24009,Severe Weather/Tornadoes 2023 Mar Central/East,2023,6000.0,6000.0,0.06334,1,1,2
PENNSYLVANIA,Cambria,42021,Severe Weather/Tornadoes 2023 Mar Central/East,2023,3000.0,3000.0,0.02296,1,1,2
PENNSYLVANIA,Cameron,42023,Severe Weather/Tornadoes 2023 Mar Central/East,2023,25000.0,25000.0,5.70776,1,1,2
TENNESSEE,Cannon,47015,Severe Weather/Tornadoes 2023 Mar Central/East,2023,3000000.0,3000000.0,199.16351,1,1,1
MISSOURI,Cape Girardeau,29031,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2000.0,2000.0,0.0241,1,1,2
KENTUCKY,Carlisle,21039,Severe Weather/Tornadoes 2023 Mar Central/East,2023,1000.0,1000.0,0.21259,1,1,1
VIRGINIA,Carroll,51035,Severe Weather/Tornadoes 2023 Mar Central/East,2023,5000.0,5000.0,0.171,1,1,1
TENNESSEE,Carroll,47017,Severe Weather/Tornadoes 2023 Mar Central/East,2023,55000.0,55000.0,1.90575,1,1,5
MISSOURI,Carter,29035,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2000.0,2000.0,0.37715,1,1,2
INDIANA,Cass,18017,Severe Weather/Tornadoes 2023 Mar Central/East,2023,35000.0,35000.0,0.92922,1,1,4
NEW YORK,Cattaraugus,36009,Severe Weather/Tornadoes 2023 Mar Central/East,2023,27000.0,27000.0,0.35714,1,1,30
MARYLAND,Cecil,24015,Severe Weather/Tornadoes 2023 Mar Central/East,2023,1029000.0,1029000.0,9.73768,1,1,11
IOWA,Cedar,19031,Severe Weather/Tornadoes 2023 Mar Central/East,2023,0.0,0.0,0.0,0,1,1
PENNSYLVANIA,Centre,42027,Severe Weather/Tornadoes 2023 Mar Central/East,2023,16000.0,16000.0,0.1014,1,1,8
OHIO,Champaign,39021,Severe Weather/Tornadoes 2023 Mar Central/East,2023,15000.0,15000.0,0.38615,1,1,4
NEW YORK,Chautauqua,36013,Severe Weather/Tornadoes 2023 Mar Central/East,2023,65500.0,65500.0,0.52446,1,1,24
NEW YORK,Chenango,36017,Severe Weather/Tornadoes 2023 Mar Central/East,2023,15000.0,15000.0,0.32666,1,1,6
GEORGIA,Cherokee,13057,Severe Weather/Tornadoes 2023 Mar Central/East,2023,1000.0,1000.0,0.00349,1,1,2
TENNESSEE,Chester,47023,Severe Weather/Tornadoes 2023 Mar Central/East,2023,5000.0,5000.0,0.28399,1,1,2
IOWA,Chickasaw,19037,Severe Weather/Tornadoes 2023 Mar Central/East,2023,250.0,250.0,0.02144,1,1,2
KENTUCKY,Christian,21047,Severe Weather/Tornadoes 2023 Mar Central/East,2023,501000.0,501000.0,6.95524,1,1,3
PENNSYLVANIA,Clarion,42031,Severe Weather/Tornadoes 2023 Mar Central/East,2023,10000.0,10000.0,0.27049,1,1,8
IOWA,Clarke,19039,Severe Weather/Tornadoes 2023 Mar Central/East,2023,1000.0,1000.0,0.1043,1,1,2
KENTUCKY,Clay,21051,Severe Weather/Tornadoes 2023 Mar Central/East,2023,0.0,0.0,0.0,0,1,1
IOWA,Clayton,19043,Severe Weather/Tornadoes 2023 Mar Central/East,2023,1000.0,1000.0,0.05893,1,1,2
OHIO,Clermont,39025,Severe Weather/Tornadoes 2023 Mar Central/East,2023,4000.0,4000.0,0.01887,1,1,4
ILLINOIS,Clinton,17027,Severe Weather/Tornadoes 2023 Mar Central/East,2023,3000.0,3000.0,0.08155,1,1,2
INDIANA,Clinton,18023,Severe Weather/Tornadoes 2023 Mar Central/East,2023,740000.0,740000.0,22.60923,1,1,3
IOWA,Clinton,19045,Severe Weather/Tornadoes 2023 Mar Central/East,2023,0.0,0.0,0.0,0,1,1
OHIO,Columbiana,39029,Severe Weather/Tornadoes 2023 Mar Central/East,2023,50000.0,50000.0,0.49909,1,1,6
NEW YORK,Cortland,36023,Severe Weather/Tornadoes 2023 Mar Central/East,2023,5500.0,5500.0,0.12021,1,1,4
OHIO,Coshocton,39031,Severe Weather/Tornadoes 2023 Mar Central/East,2023,10000.0,10000.0,0.27123,1,1,2
VIRGINIA,Covington,51580,Severe Weather/Tornadoes 2023 Mar Central/East,2023,1250.0,1250.0,0.22543,1,1,1
VIRGINIA,Craig,51045,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2000.0,2000.0,0.41297,1,1,1
OKLAHOMA,Craig,40035,Severe Weather/Tornadoes 2023 Mar Central/East,2023,5000.0,5000.0,0.34497,1,1,1
OHIO,Crawford,39033,Severe Weather/Tornadoes 2023 Mar Central/East,2023,77500.0,77500.0,1.86617,1,1,3
ILLINOIS,Crawford,17033,Severe Weather/Tornadoes 2023 Mar Central/East,2023,0.0,0.0,0.0,0,1,1
GEORGIA,Crisp,13081,Severe Weather/Tornadoes 2023 Mar Central/East,2023,1000.0,1000.0,0.05094,1,1,2
ARKANSAS,Crittenden,5035,Severe Weather/Tornadoes 2023 Mar Central/East,2023,265000.0,265000.0,5.62167,1,1,2
KENTUCKY,Crittenden,21055,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2000.0,2000.0,0.22287,1,1,2
ARKANSAS,Cross,5037,Severe Weather/Tornadoes 2023 Mar Central/East,2023,150000000.0,150000000.0,9135.20097,1,1,1
TENNESSEE,Cumberland,47035,Severe Weather/Tornadoes 2023 Mar Central/East,2023,250000.0,250000.0,3.86041,1,1,2
PENNSYLVANIA,Cumberland,42041,Severe Weather/Tornadoes 2023 Mar Central/East,2023,1000.0,1000.0,0.00369,1,1,1
OHIO,Cuyahoga,39035,Severe Weather/Tornadoes 2023 Mar Central/East,2023,50000.0,50000.0,0.04055,1,1,4
WISCONSIN,Dane,55025,Severe Weather/Tornadoes 2023 Mar Central/East,2023,100000.0,100000.0,0.17381,1,1,1
OHIO,Darke,39037,Severe Weather/Tornadoes 2023 Mar Central/East,2023,50000.0,50000.0,0.97248,1,1,1
KENTUCKY,Daviess,21059,Severe Weather/Tornadoes 2023 Mar Central/East,2023,2000.0,2000.0,0.01933,1,1,2
GEORGIA,Decatur,13087,Severe Weather/Tornadoes 2023 Mar Central/East,2023,40000.0,40000.0,1.37518,1,1,7
TENNESSEE,DeKalb,47041,Severe Weather/Tornadoes 2023 Mar Central/East,2023,50000.0,50000.0,2.35571,1,1,2
INDIANA,Delaware,18035,Severe Weather/Tornadoes 2023 Mar Central/East,2023,110000.0,110000.0,0.97934,1,1,2
OHIO,Delaware,39041,Severe Weather/Tornadoes 2023 Mar Central/East,2023,500.0,500.0,0.00216,1,1,2
MISSOURI,Dent,29065,Severe Weather/Tornadoes 2023 Mar Central/East,2023,80000.0,80000.0,5.46187,1,1,1
